19-2000, Gorillaz
﻿3 Libras, A Perfect Circle
39, The Cure
A Long Walk, Jill Scott
A Perfect Sonnet, Bright Eyes
Absolutely (Story of a Girl), Nine Days
After All, Dar Williams
Again, Lenny Kravitz
Again I Go Unnoticed, Dashboard Confessional
All My Best Friends Are Metalheads, Less Than Jake
Am I Wry? No, Mew
AM Radio, Everclear
Andrew, Bowling for Soup
Angel, Shaggy
Another Dumb Blonde, Hoku
Apple Blossom, The White Stripes
Army Of Two, Dum Dums
At Stake, Jennifer Nettles Band
Autopilot, Queens of the Stone Age
Awake, Godsmack
Away From Me, Evanescence
Back to School (Mini-Maggit), Deftones
Bad Day, Fuel
Bad Religion, Godsmack
Bag It Up, Geri Halliwell
Balance Beam, Blue October
Bang The Drum Slowly, Emmylou Harris
Bathwater, No Doubt
Be Like That, 3 Doors Down
Beautiful Day, U2
Beautiful Disaster, Roger Clyne & the Peacemakers
"Beautiful, Scandalous Night", The Choir
Bent, Matchbox Twenty
Best Kept Secret, Skillet
Better Days, The Jayhawks
Better Man, Robbie Williams
Between Angels And Insects, Papa Roach
Black Coffee, All Saints
Black Label, Lamb Of God
Black Rock, O.A.R.
Black-Eyed, Placebo
Blood Brothers, Iron Maiden
"Blood, Sex and Booze", Green Day
Bloodflowers, The Cure
Bohemian Like You, The Dandy Warhols
Boiler, Limp Bizkit
Bombs Over Baghdad (B.O.B.), OutKast
Boss Of Me, They Might Be Giants
Bouncing Off The Ceiling (Upside Down), The A-Teens
Brave New World, Iron Maiden
Breathing, Lifehouse
Breathless, The Corrs
Breña, A Perfect Circle
Broken Home, Papa Roach
Burn, Jo Dee Messina
Butterfly, SMiLE.dk
By Myself, Linkin Park
By Your Side, Sade
Bye Bye Bye, 'N Sync
Can We Fix It?, Bob the Builder
Can't Fight The Moonlight, LeAnn Rimes
Can't Get You Out Of My Thoughts, Dum Dums
Careful Where You Stand, Coldplay
Carry Me Home, The Living End
Cha Cha Slide, DJ Casper
Champagne High, Sister Hazel
Change (In The House of Flies), Deftones
Change Your Mind, Sister Hazel
Church On Sunday, Green Day
Cling And Clatter, Lifehouse
"Cold, Cold Earth", Allison Moorer
Come Out Swinging, The Offspring
Conspiracy Of One, The Offspring
Counting The Days, Goldfinger
Country Grammar (Hot S--t), Nelly
