"1 Step Forward, 3 Steps Back", Olivia Rodrigo
"10,000 Tears",Ghetts
100 Mil', J. Cole
2 Much, Justin Bieber
2055, Sleepy Hallow
23, Sam Hunt
23 Preguntas, Anuel AA
24, Kanye West
24/5, Mimi Webb
3 O'Clock Things, AJR
5AM, The Anchoress
6 For 6, Central Cee
7AM On Bridle Path, Drake
865, Morgan Wallen
95 South, J. Cole
A-O-K, Tai Verdes
Addicted, Jorja Smith
After All, Elton John
Age of Machine, Greta Van Fleet
Ain't S--t, Doja Cat
All Eyes On Me, Bo Burnham
All I Know So Far, Pink
All My Famous Friends, Benedict Cork
All My Favorite Songs, Weezer
All Of This, Jorja Smith
All Shall Be Well, The Accidentals
All You Ever Wanted, Rag'n'Bone Man
All Your Exes, Julia Michaels
Alone, Rag'n'Bone Man
Altar, Kehlani
AM, Nio García
Am I The Only One, Aaron Lewis
Amari, J. Cole
America, London Grammar
And So It Went, The Pretty Reckless
Anxious, AJ Tracey
Anyone, Justin Bieber
Anyway, The Accidentals
Anywhere Away From Here, Rag'n'Bone Man
AP, Pop Smoke
Applying Pressure, J. Cole
Arcadia, Lana Del Rey
Are You With That?, Vince Staples
As I Am, Justin Bieber
Avalanche, Migos
Avalanche, James Arthur
Back At It, Zayde Wolf
Back From The Dead, Halestorm
Back To Basics, Fredo
Bad Boy, Juice WRLD
Bad Habits, Ed Sheeran
Badibaba, Goat Girl
Baila Conmigo, Selena Gomez
Bath Salts, DMX
Beautiful, Anne-Marie
Beautiful Beaches, James
Beautiful Mistakes, Maroon 5
BED, Joel Corry
Been To War, DMX
Beers On Me, Dierks Bentley
Believe Me, Navos
Believe What I Say, Kanye West
Best Friend, Saweetie
Betrayal, Trippie Redd
Better Days, Dermot Kennedy
Bezos I, Bo Burnham
Bible Verses, Blake Shelton
Bicycle, RM
Big Paper, DJ Khaled
Bill Dance, Luke Bryan
Billie Bossa Nova, Billie Eilish
Birds And The Bees, Elizabeth And The Catapult
Bitter Taste, Billy Idol
Black Hole, Griff
Blood On Your Hands, Willie Nile
Body, Russ Millions
Boilermaker, Royal Blood
Botella Tras Botella, Gera MX & Christian Nodal
Boy With A Broken Heart, Noah Cunane
Break It Kind Of Guy, Eric Church
