11th Hour, Lamb Of God
﻿12:51, The Strokes
2+2=5, Radiohead
21 Questions, 50 Cent
24's, T.I.
3 Black Crows, Blackmore's Night
3rd Measurement In C, Saosin
45, Shinedown
94 Hours, As I Lay Dying
99 Problems, Jay-Z
"A Better Place, A Better Time", Streetlight Manifesto
A Little More, Skillet
A Moment of Silence, Streetlight Manifesto
A Perfect Match, The A-Teens
A Punch-Up At A Wedding, Radiohead
A Thousand Beautiful Things, Annie Lennox
A Wolf At The Door, Radiohead
Aah Song, Boy Meets Girl
Adding To The Noise, Switchfoot
After All This Time, Michael Chapman
Age of Innocence, Iron Maiden
Alive, Korn
Alive 'N' Kickin', Kenny Loggins
All Falls Down, Kanye West
All Of This, blink-182
All That You Need, Joe Ely
All Within My Hands, Metallica
Allure, Jay-Z
Always, blink-182
Amazing, Josh Kelley
American Life, Madonna
American Soldier, Toby Keith
An Original Man (A Song For Keith), The Yardbirds
And Then You Kissed Me, The Cardigans
Anniversary of an Uninteresting Event, Deftones
Another Postcard, Barenaked Ladies
Anyway, O.A.R.
Apocalypse Please, Muse
Are You Gonna Be My Girl, Jet
As I Am, Dream Theater
Asthenia, blink-182
Atonement, Lucinda Williams
Avalanche, Matthew Good
Away From Me, Puddle of Mudd
Babies With Guns, Aesop Rock
Baby Boy, Beyoncé
Back In The Mud, Bubba Sparxxx
Backdrifts, Radiohead
Bad Day, R.E.M.
Ball And Biscuit, The White Stripes
Be The Rain, Neil Young & Crazy Horse
Beautiful Man, Lori McKenna
Because Of You, Nickelback
Beer, Psychostick
Believe, Yellowcard
Beyond The Gray Sky, 311
Bigger Than Elvis, Chicago
Bigger Than My Body, John Mayer
Black Math, The White Stripes
Black Shuck, The Darkness
Blow Away, Staind
Blow It Out, Ludacris
Blue, A Perfect Circle
Blue And Yellow, The Used
BOB, Weird Al Yankovic
Bodom Beach Terror, Children of Bodom
Bomb the World, Michael Franti
Born Too Slow, The Crystal Method
Bottom Of A Bottle, Smile Empty Soul
Break Some Off, Korn
Breaking The Habit, Linkin Park
Breathe, Blu Cantrell
Bring Me The Disco King, David Bowie
Bring Me To Life, Evanescence
Buried Alive By Love, HIM
Burning Bright, Shinedown
Butterflies And Hurricanes, Muse
Calabria, Rune RK
California Waiting, Kings of Leon
Call Off The Search, Katie Melua
Calling All Angels, Train
Calling You, Blue October
Cartouche, Blackmore's Night
Caught With a Smile on My Face, The Jayhawks
Celebrity, Brad Paisley
Changes, Ozzy and Kelly Osbourne
Chapter Four, Avenged Sevenfold
Chariot, Gavin DeGraw
Chicago Is So Two Years Ago, Fall Out Boy
Childhood Dreams, Nelly Furtado
Christmas Time (Don't Let the Bells End), The Darkness
Clark Gable, The Postal Service
Climbing, Boy Meets Girl
Cloud 9, Puddle of Mudd
Cold Light, Yeah Yeah Yeahs
Collide, Howie Day
Collide, Skillet
Come Clean, Hilary Duff
Cookie Jar, Jack Johnson
Crackle And Drag, Paul Westerberg
Crashed The Wedding, Busted
Crazy Beat, Blur
Crazy In Love, Beyoncé
Creatures (For a While), 311
Cries Of The Past, Underoath
Cure My Tragedy, Cold
Da Hui, The Offspring
Daddy, Beyoncé
Dance Of Death, Iron Maiden
Dance With My Father, Luther Vandross
Dandelion Wine, Blackmore's Night
Dare You To Move, Switchfoot
Dareh Meyod, O.A.R.
Darts of Pleasure, Franz Ferdinand
Date with the Night, Yeah Yeah Yeahs
Daughters, John Mayer
Dead On Arrival, Fall Out Boy
Death in Fire, Amon Amarth
Departure Plan, Soilwork
Diary, Alicia Keys
Diary Of Torture, Macabre
Did My Time, Korn
Dinner At Eight, Rufus Wainwright
Dirt Off Your Shoulder, Jay-Z
Dirty Window, Metallica
Don't Belong, Cold
Don't Go There, Asleep At The Wheel
Don't Remind Me, Boy Meets Girl
Don't Stay, Linkin Park
Doomsday Jesus, Black Label Society
Down, blink-182
Drug Of Choice, Boy Meets Girl
Drunkship Of Lanterns, The Mars Volta
Easier To Run, Linkin Park
Easy Target, blink-182
Empty Apartment, Yellowcard
Endless Sacrifice, Dream Theater
Enemy, Sevendust
Erased, Annie Lennox
"Eve, The Apple Of My Eye", Bell X1
Everybody's Changing, Keane
Everybody's Fool, Evanescence
Everytime, Britney Spears
Explode, Nelly Furtado
Extraordinary, Liz Phair
F--k Me Pumps, Amy Winehouse
Facade Of Reality, Epica
Face in the Sand, Iron Maiden
Faint, Linkin Park
Fall Back Down, Rancid
Far From Any Road, The Handsome Family
Fashion Awards, Eels
Feel Good Time, Pink
Feeling This, blink-182
Figure Number Five, Soilwork
Fill Me Up, Staind
Five Colours In Her Hair, McFly
"Fix Up, Look Sharp", Dizzee Rascal
Flamboyant, Pet Shop Boys
Floorfiller, The A-Teens
Flying, Living Colour
For Good, Kristen Chenoweth and Idina Menzel
"For The Workforce, Drowning", Thursday
Forca, Nelly Furtado
Forever, As I Lay Dying
Foreword, Linkin Park
Forsaken, Skillet
Fortune Faded, Red Hot Chili Peppers
Frantic, Metallica
Freek-A-Leek, Petey Pablo
From the Inside, Linkin Park
Funeral Thirst, The Black Dahlia Murder
Gates of Tomorrow, Iron Maiden
Get Busy, Sean Paul
Get Your Hands Off My Woman, The Darkness
Girl's Not Grey, AFI
"Girl, You Have No Faith In Medicine", The White Stripes
Girls, The Prodigy
Give It Up, The Format
Give Up The Grudge, Gob
Givin' Up, The Darkness
Glory Bound, The Oak Ridge Boys
Go, blink-182
Go Or Go Ahead, Rufus Wainwright
Go to Sleep, Radiohead
God Is A DJ, Pink
God of Wonders, Third Day
God's Will, Martina McBride
Godspeed (Sweet Dreams), The Chicks
Going Under, Evanescence
Gone, Switchfoot
Good Luck, Basement Jaxx
Grand Theft Autumn, Fall Out Boy
Gravedigger, Dave Matthews Band
Grenade Jumper, Fall Out Boy
Growing On Me, The Darkness
Guernica, Brand New
Hackensack, Fountains of Wayne
Hard-On for War, Mudhoney
Hate For The Weak, Throwdown
Haunted, Evanescence
Have You Forgotten?, Darryl Worley
Headstrong, Trapt
Heaven, Live
Hello, Evanescence
Help Yourself, Amy Winehouse
Here's To Life, Streetlight Manifesto
Here's Your Letter, blink-182
Hexagram, Deftones
Hey Mama, The Black Eyed Peas
Hey Ya, OutKast
Holding My Own, The Darkness
Hole In The Head, Sugababes
Hole In The World, Eagles
Honor Thy Father, Dream Theater
Hoopes I Did It Again, Relient K
Hypnotize, The White Stripes
Hysteria, Muse
I Believe, Diamond Rio
I Can't Take You Anywhere, Scotty Emerick
I Cannot Sleep, Tok Tok Tok
I Don't Blame You, Cat Power
I Don't Want To Be, Gavin DeGraw
I Don't Want To Grow Up, Spiraling
I F--king Hate You, Godsmack
I Hate Everything About You, Three Days Grace
I Heard Love Is Blind, Amy Winehouse
I Know What You Want, Busta Rhymes
I Miss You, blink-182
I Stand Alone, Godsmack
I Still Luv You, T.I.
I Was Meant for the Stage, The Decemberists
I Will, Radiohead
I Will Play My Game Beneath The Spin Light, Brand New
I Won't See You Tonight, Avenged Sevenfold
I Wonder, Diffuser
I'm In The Mood Again, Elvis Costello
I'm Lost Without You, blink-182
I'm Lovin' It (parapapapa), Justin Timberlake
If I Ain't Got You, Alicia Keys
If We Are The Body, Casting Crowns
If We Never Go Inside, Alkaline Trio
Imperfection, Skillet
In Christ Alone, Newsboys
In Da Club, 50 Cent
In My Head, Queens of the Stone Age
"In The Cold, Cold Night", The White Stripes
In This Diary, The Ataris
Indestructible, Rancid
Inertiatic ESP, The Mars Volta
