'Til I Get It Right, Fastball
﻿(F.U.R.B.) FU Right Back, Frankee
"(Oh No, What Shall We Do?) Daddy Lost His Head In A Coup", Martin Gordon
(Reach Up for the) Sunrise, Duran Duran
(You Can't Blame It On) Anybody, Phoenix
"1, 2 Step", Ciara
100 Years, Five for Fighting
1980, Estelle
1985, Bowling for Soup
4/20/02, Pearl Jam
5.15am, Mark Knopfler
5:30," Robert Downey, Jr."
A Decade Under The Influence, Taking Back Sunday
A Man And A Woman, U2
Abattoir Blues, Nick Cave & the Bad Seeds
About a Burning Fire, Blindside
About Her, Malcolm McLaren
Accidentally in Love, Counting Crows
Aftermath, R.E.M.
Agnus Dei, Rufus Wainwright
Agoraphobia, Incubus
Ain't Your Fairytale, Sonata Arctica
Alert Status Red, Matthew Good
Alive With The Glory Of Love, Say Anything
All Because Of You, U2
All Downhill From Here, New Found Glory
All For You Sophia, Franz Ferdinand
All That I've Got, The Used
All These Things That I've Done, The Killers
Alright, John Legend
Amazing, George Michael
American Idiot, Green Day
American Prayer, U2
Americano!, Roger Clyne & the Peacemakers
Amerika, Rammstein
An Old Whore's Diet, Rufus Wainwright
"Andy, You're A Star", The Killers
Angeline, Blackberry Smoke
Annie, Vanessa Carlton
Annihilation, A Perfect Circle
Are We The Waiting, Green Day
Ashes of the Wake, Lamb Of God
At The End Of August, 36 Crazyfists
"Awful, Beautiful Life", Darryl Worley
Baby Cakes, 3 of a Kind
Baby Girl, Sugarland
Babydoll, Kay Hanley
Back In The Day, Megadeth
Back When, Tim McGraw
Bad Habit, The Dresden Dolls
Bats In The Belfry, Dispatch
Be Be Your Love, Rachael Yamagata
Because Of You, Kelly Clarkson
Bedshaped, Keane
Before I Forget, Slipknot
Behind These Hazel Eyes, Kelly Clarkson
Best Thing You Never Had, Butch Walker
Better Now, Collective Soul
Big Machine, Velvet Revolver
Black Hearts Now Reign, Unearth
Blame It On The Tetons, Modest Mouse
Bleed For You, Hidden in Plain View
Bleeding Mascara, Atreyu
Bless The Broken Road, Rascal Flatts
Blood And Thunder, Mastodon
Blood Red Sandman, Lordi
"Bloomington, IN", Ghost Mice
Blunt Force Trauma, Damageplan
Bonus Mosh Pt. II, Taking Back Sunday
"Boom, Like That", Mark Knopfler
Boot Stamping on a Human Face Forever, Bad Religion
Booty Call, G. Love & Special Sauce
Boulevard Of Broken Dreams, Green Day
Breakaway, Kelly Clarkson
Breathe Me, Sia
Breathe No More, Evanescence
Breathless, Nick Cave & the Bad Seeds
Bridging The Gap , Nas
Broken, Seether
Broken," Robert Downey, Jr."
Broken Angel, Hanson
Bukowski, Modest Mouse
Buried A Lie, Senses Fail
Buried Alive, Otep
Burn, Usher
Burnin' Down the Spark, Nancy Sinatra
Bury Me With It, Modest Mouse
C'mon C'mon, The Von Bondies
California Songs, Local H
Call On Me, Eric Prydz
Can't Stand Me Now, The Libertines
Carl Perkins' Cadillac, Drive-By Truckers
Cater 2 U, Destiny's Child
Caught In A Hustle, Immortal Technique
Cemetery Drive, My Chemical Romance
Cherry Blossom Girl, Air
Chi Ga, Mando Diao
Child Owlet, Steeleye Span
Chop 'Em Down, Matisyahu
Cigarette Lit, Dave Matthews Band
Cinnamon Girl, Prince
Circle, Slipknot
City Of Blinding Lights, U2
Coahuila, Old 97's
Coin-Operated Boy, The Dresden Dolls
Cold, Crossfade
Cold Hard Bitch, Jet
Colors, Crossfade
"Confessions, Pt. 2", Usher
Confidence Game, Larry Burnett
Counterclockwise, Roger Clyne & the Peacemakers
Counting Bodies Like Sheep To The Rhythm Of The War Drums, A Perfect Circle
Counting to 100, Matt Wertz
Crabbuckit, k-os
Crash Push, Robi Rosa
Crazy, Simple Plan
Crumbs From Your Table, U2
Curmudgeon, Nirvana
Cyber Waste, Fear Factory
Darts, The Long Blondes
Day After Tomorrow, Tom Waits
Dear You, Carly Rae Jepsen
Death of a Cheerleader, Marcy Playground
Decent Days and Nights, The Futureheads
Die Dead Enough, Megadeth
Dip it Low, Christina Milian
Dirty Little Thing, Velvet Revolver
DJ, Jamelia
Do Or Die, Papa Roach
Don't Bring Me Down, Sia
Don't Go Into the Barn, Tom Waits
Don't Leave Home, Dido
Don't Tell Me, Avril Lavigne
Don't Wanna Think About You, Simple Plan
Down In Mississippi (Up To No Good), Sugarland
Dreams, Game
Drop It Like It's Hot, Snoop Dogg
Drown, Three Days Grace
Drugs Or Jesus, Tim McGraw
Drugs Or Me, Jimmy Eat World
Dry Your Eyes, The Streets
Duality, Slipknot
Eighth World Wonder, Kimberley Locke
Electron Blue, R.E.M.
Elias, Dispatch
Emily, From First to Last
Enough, Heart
Eternity Is Within, Shadows Fall
Everything Good, Richard Marx
Evil, Interpol
Existentialism On Prom Night, Straylight Run
F--K You, Archive
Failure's Not Flattering, New Found Glory
Fall to Pieces, Velvet Revolver
Fall To Pieces, Avril Lavigne
Fallen Ones, Heart
Fast Cars, U2
Field Of Innocence, Evanescence
Final Straw, R.E.M.
First, Lindsay Lohan
Float On, Modest Mouse
Flowers and Cages, Josh Todd
Flying Horses, Dispatch
Fools Like Me, Lisa Loeb
Forget It, Breaking Benjamin
Freaks In Love, Elton John
Free, Donavon Frankenreiter
Fury Of The Storm, DragonForce
Galang, M.I.A.
Gay Messiah, Rufus Wainwright
Getting Away With Murder, Papa Roach
Ghetto Gospel, 2Pac
Ghetto Rock, Mos Def
Giddy Stratospheres, The Long Blondes
Gimmie Gimmie Gimmie, A Perfect Circle
Girl, Destiny's Child
Girl Anachronism, The Dresden Dolls
Give 'Em Hell Kid, My Chemical Romance
Give It All, Rise Against
Give It Away, Deepest Blue
Give Me Novacaine, Green Day
Glamorous Indie Rock & Roll, The Killers
Glitter And Trauma, Biffy Clyro
Glory Defined, Building 429
God Gave Me A Gun, Roger Clyne & the Peacemakers
Golden Touch, Razorlight
Good Day, The Dresden Dolls
Goodbye In Gasoline, Less Than Jake
