title,artist,date,hit,track_id,release_date,spotify.name,spotify.artists
V. 3005,Childish Gambino,2014-07-05,1,1rfJQpYr0clcyXssjQjk4T,2013-12-10,V. 3005,['Childish Gambino']
I Got A Car,George Strait,2014-07-05,1,4Fpq4QkR06QRDkujBUk0JY,2013-01-01,I Got A Car,['George Strait']
Dirt,Florida Georgia Line,2014-08-02,1,5CXnIPD6rTjszYYQm6fY2P,2014-10-14,Dirt,['Florida Georgia Line']
Break Free,Ariana Grande Featuring Zedd,2014-08-02,1,12KUFSHFgT0XCoiSlvdQi4,2014-08-25,Break Free,"['Ariana Grande', 'Zedd']"
Everything I Didn't Say,5 Seconds Of Summer,2014-08-02,1,6s74UWM63X9K3koAfU9KUl,2014-06-27,Everything I Didn't Say,['5 Seconds of Summer']
Word Crimes,"""Weird Al"" Yankovic",2014-08-02,1,4JqQWAr47pGEoaMArpA7Z3,2014-07-15,Word Crimes,"['""Weird Al"" Yankovic']"
Black Widow,Iggy Azalea Featuring Rita Ora,2014-08-02,1,7pNC5ZIKtwUK0ReSpM3P9f,2014-01-01,Black Widow,"['Iggy Azalea', 'Rita Ora']"
All About That Bass,Meghan Trainor,2014-08-02,1,5jE48hhRu8E6zBDPRSkEq7,2015-01-09,All About That Bass,['Meghan Trainor']
Try,Colbie Caillat,2014-08-02,1,6buXDkw3Gv4fQC1OZKUhnR,2014-09-30,Try,['Colbie Caillat']
Don't Tell 'Em,Jeremih Featuring YG,2014-08-02,1,0Dc7J9VPV4eOInoxUiZrsL,2015-12-04,Don't Tell 'Em,"['Jeremih', 'YG']"
Leave The Night On,Sam Hunt,2014-08-02,1,3wx2kQWPn9p5UppQbNhPAk,2014-10-27,Leave The Night On,['Sam Hunt']
Riptide,Vance Joy,2014-08-02,1,3JvrhDOgAt6p7K8mDyZwRd,2014-09-09,Riptide,['Vance Joy']
Cool Kids,Echosmith,2014-08-02,1,13P5rwmk2EsoFRIz9UCeh9,2013-10-04,Cool Kids,['Echosmith']
Hope You Get Lonely Tonight,Cole Swindell,2014-08-02,1,5BtS8w1kkjLV1BbvB0t12u,2014-02-18,Hope You Get Lonely Tonight,['Cole Swindell']
Roller Coaster,Luke Bryan,2014-08-02,1,5r00wpsojd4mBYaQFDvni7,2013-01-01,Roller Coaster,['Luke Bryan']
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014-08-02,1,7DTlsMOQjGysXHpwwpHuPl,2014-06-05,Lifestyle,"['Rich Gang', 'Young Thug', 'Rich Homie Quan']"
Bo$$,Fifth Harmony,2014-08-02,1,1COvXs6jaykXC73h9OSBVM,2015-01-30,BO$$,['Fifth Harmony']
Fight Night,Migos,2014-08-02,1,2n5gVJ9fzeX2SSWlLQuyS9,2014-06-03,Fight Night,['Migos']
Amnesia,5 Seconds Of Summer,2014-08-02,1,1JCCdiru7fhstOIF4N7WJC,2014-06-27,Amnesia,['5 Seconds of Summer']
You & I (Nobody In The World),John Legend,2014-08-02,1,55nlbqqFVnSsArIeYSQlqx,2013-08-30,You & I (Nobody in the World),['John Legend']
Hideaway,Kiesza,2014-08-02,1,0c6xIDDpzE81m2q797ordA,2014-10-21,Hideaway,['Kiesza']
Foreign,Trey Songz,2014-08-02,1,0tyYpW6eJ2q7Dtfyc3v7rO,2015-06-23,Foreign,['Trey Songz']
Sunshine & Whiskey,Frankie Ballard,2014-08-02,1,6aNwDe5YH5YUPlpHkku52w,2014-04-03,Sunshine & Whiskey,['Frankie Ballard']
She Twerkin,Ca$h Out,2014-08-02,1,4foyyTPR2jUcATliukBkd9,2014-08-26,She Twerkin,['Ca$h Out']
Shake It Off,Taylor Swift,2014-09-06,1,5xTtaWoae3wi06K5WfVUUH,2014-10-27,Shake It Off,['Taylor Swift']
Anaconda,Nicki Minaj,2014-09-06,1,794F99D5BQHS5ZGRXAs7I5,2014-12-15,Anaconda,['Nicki Minaj']
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014-09-06,1,0puf9yIluy9W0vpMEUoAnN,2014-10-14,Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']"
Burnin' It Down,Jason Aldean,2014-09-06,1,5HJqpDspKDKwQpLjvkcIsD,2014-10-07,Burnin' It Down,['Jason Aldean']
This Is How We Do,Katy Perry,2014-09-06,1,5vL0yvddknhGj7IrBc6UTj,2013-10-18,This Is How We Do,['Katy Perry']
New Flame,Chris Brown Featuring Usher & Rick Ross,2014-09-06,1,3fBbfrWZUuWWrMQXFISr7N,2014-09-16,New Flame (feat. Usher & Rick Ross),"['Chris Brown', 'Usher', 'Rick Ross']"
Hot Boy,Bobby Shmurda,2014-09-06,1,0rFke7eNFHbGuGJUdRgjB2,2014-07-25,Hot Boy,['Bobby Shmurda']
0 To 100 / The Catch Up,Drake,2014-09-06,1,4jtyUzZm9WLc2AdaJ1dso7,2013-07-14,0 To 100 / The Catch Up,['Drake']
No Flex Zone,Rae Sremmurd,2014-09-06,1,2L8cFPItBljPNJgPjTnuIf,2015-01-06,No Flex Zone,['Rae Sremmurd']
Stolen Dance,Milky Chance,2014-09-06,1,6vECYJHxYmm3Ydt3fF01pE,2014-06-20,Stolen Dance,['Milky Chance']
Fireball,Pitbull Featuring John Ryan,2014-09-06,1,4Y7XAxTANhu3lmnLAzhWJW,2014-11-21,Fireball (feat. John Ryan),"['Pitbull', 'John Ryan']"
Girl In A Country Song,Maddie & Tae,2014-09-06,1,1GRiBe0kNCNYpjwCHIyynI,2015-06-02,Girl In A Country Song,['Maddie & Tae']
I Will Never Let You Down,Rita Ora,2014-09-06,1,2ia7iiEtpiOL2ZVuWxBZGB,2014-03-31,I Will Never Let You Down,['Rita Ora']
About The Money,T.I. Featuring Young Thug,2014-09-06,1,1hzJQIkgXwZevaKsc7iA6D,2014-06-03,About the Money (feat. Young Thug),"['T.I.', 'Young Thug']"
Neon Light,Blake Shelton,2014-09-06,1,289hx4t6fH2BBe8p6cnXo1,2014-09-30,Neon Light,['Blake Shelton']
Day Drinking,Little Big Town,2014-09-06,1,1pxXqJZBrCREdC0s4Xs6Xz,2014-10-21,Day Drinking,['Little Big Town']
Hookah,Tyga Featuring Young Thug,2014-09-06,1,3qQ6WFhcAx6LOH1UHz1c0U,2014-01-01,Hookah,"['Tyga', 'Young Thug']"
Animals,Maroon 5,2014-09-06,1,2bL2gyO6kBdLkNSkxXNh6x,2014-09-02,Animals,['Maroon 5']
Take Me To Church,Hozier,2014-09-06,1,1CS7Sd1u5tWkstBhpssyjP,2014-09-19,Take Me to Church,['Hozier']
Waves,Mr. Probz,2014-09-06,1,1HFfMOxCAT4GAwaPfCdmUs,2014-02-07,Waves - Robin Schulz Radio Edit,"['Mr. Probz', 'Robin Schulz']"
Cold One,Eric Church,2014-09-06,1,1ffMmNQ42w7dIwyCDTKySb,2014-01-01,Cold One,['Eric Church']
Dust,Eli Young Band,2014-09-06,1,5J6IvCB3hhdBVFfKI75fjp,2013-01-01,Dust,['Eli Young Band']
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",2014-09-06,1,7zBQRGpYImAdIZc97FNj3V,2014-07-22,"Shell Shocked (feat. Kill The Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""","['Juicy J', 'Wiz Khalifa', 'Ty Dolla $ign', 'Kill The Noise', 'Madsonik']"
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",2014-09-06,1,2SSFvQBwsxeazzo7z5l9gD,2014-09-29,Delirious (Boneless) (feat. Kid Ink),"['Steve Aoki', 'Chris Lake', 'Tujamo', 'Kid Ink']"
Later On,The Swon Brothers,2014-09-06,1,7lG4154Md1Kw7BMg56Pt4s,2014-10-13,Later On,['The Swon Brothers']
Walk Thru,Rich Homie Quan Featuring Problem,2014-09-06,1,5259GVdvIOBkcqo6L2i9qw,2014-02-28,Walk Thru (feat. Problem),['Rich Homie Quan']
Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,2014-10-04,1,2wH9Kn1EaD5dOzNbgumnCD,2021-10-19,Booty,"['Jennifer Lopez', 'Pitbull']"
Blame,Calvin Harris Featuring John Newman,2014-10-04,1,07nH4ifBxUB4lZcsf44Brn,2014-10-31,Blame (feat. John Newman),"['Calvin Harris', 'John Newman']"
Centuries,Fall Out Boy,2014-10-04,1,04aAxqtGp5pv12UXAg4pkq,2015-01-20,Centuries,['Fall Out Boy']
Gonna Know We Were Here,Jason Aldean,2014-10-04,1,0mMR63GfhjpxT02rIdq5Mz,2014-10-07,Gonna Know We Were Here,['Jason Aldean']
No Love,August Alsina,2014-10-04,1,7ewfvLrlI0VNht4vEnoTMh,2014-08-05,No Love,"['August Alsina', 'Nicki Minaj']"
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2014-10-04,1,4bkhs6spQvVnVJAlXuKR6a,2015-06-23,"Touchin, Lovin (feat. Nicki Minaj)","['Trey Songz', 'Nicki Minaj']"
Secrets,Mary Lambert,2014-10-04,1,3V3iy4K6paycRmTyrjQVwi,2014-10-14,Secrets,['Mary Lambert']
Angel In Blue Jeans,Train,2014-10-04,1,2GxGYGrixbXPFojONbzdo9,2014-09-16,Angel in Blue Jeans,['Train']
Jealous,Nick Jonas,2014-10-04,1,2RqtfcLB7iOZj0zYB8Auhu,2015-11-20,Jealous,['Nick Jonas']
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2014-10-04,1,2Ima72UXnfvR539afL3SAF,2015-10-23,"Hold You Down (feat. Chris Brown, August Alsina, Future & Jeremih)","['DJ Khaled', 'Chris Brown', 'August Alsina', 'Future', 'Jeremih']"
Somewhere In My Car,Keith Urban,2014-10-04,1,3MFV4DgrAOXz6KURPQxRj9,2014-07-08,Somewhere In My Car,['Keith Urban']
Sun Daze,Florida Georgia Line,2014-10-04,1,0El2Zyt68nYySFDG87hZgM,2014-10-14,Sun Daze,['Florida Georgia Line']
I'm Not The Only One,Sam Smith,2014-10-04,1,6WNqOfvfqmbyCk23ejRBwO,2019-04-23,I’m Not the Only One - Acoustic Cover,"['Sam Smith', 'Dale Burbeck']"
24 Hours,TeeFLii Featuring 2 Chainz,2014-10-04,1,6miFQ5ev2eTrEBJVFNRVcF,2015-01-30,24 Hours (feat. 2 Chainz),"['TeeFLii', '2 Chainz']"
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2014-10-04,1,26J5gZv3nwJf5e2xrNtYIZ,,,
Superheroes,The Script,2014-10-04,1,37sINbJZcFdHFAsVNsPq1i,2014-09-15,Superheroes,['The Script']
Look At You,Big & Rich,2014-10-04,1,6hQNZOmjGuiJuArVQLSKro,2014-09-23,Look at You,['Big & Rich']
Dear Future Husband,Meghan Trainor,2014-10-04,1,3cU2wBxuV6nFiuf6PJZNlC,2015-01-09,Dear Future Husband,['Meghan Trainor']
Bend Ova,Lil Jon Featuring Tyga,2014-10-04,1,35x6JdLCr4VWWR5ShNoAWo,2014-07-22,Bend Ova (feat. Tyga),"['Lil Jon', 'Tyga']"
X,Chris Brown,2014-10-04,1,5pwcZWC7XdfoPo8FDwPaui,2014-09-16,X,['Chris Brown']
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,2014-10-04,1,1eL8wZKx7CVJVbZG12becL,2014-08-19,You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign),"['Wiz Khalifa', 'Snoop Dogg', 'Ty Dolla $ign']"
Out Of The Woods,Taylor Swift,2014-11-01,1,5OndtwLGA9O6XHFcGm2H7r,2014-10-27,Out Of The Woods,['Taylor Swift']
Steal My Girl,One Direction,2014-11-01,1,2Bs4jQEGMycglOfWPBqrVG,2014-11-17,Steal My Girl,['One Direction']
No Type,Rae Sremmurd,2014-11-01,1,4scpF6J5uMBvoh6sFB7EL1,2015-01-06,No Type,['Rae Sremmurd']
I Don't F**k With You,Big Sean Featuring E-40,2014-11-01,1,7p54iuWHqvdeN224OglZ9t,,,
i,Kendrick Lamar,2014-11-01,1,3q2v8QaTnHLveAQzR6gvYm,2012,"Sing About Me, I'm Dying Of Thirst",['Kendrick Lamar']
Love Me Harder,Ariana Grande & The Weeknd,2014-11-01,1,5J4ZkQpzMUFojo1CtAZYpn,2014-08-25,Love Me Harder,"['Ariana Grande', 'The Weeknd']"
Tuesday,I LOVE MAKONNEN Featuring Drake,2014-11-01,1,2znzyzlAUc8Z1Ikq9aFOcx,2014-09-01,Tuesday (feat. Drake),"['ILOVEMAKONNEN', 'Drake']"
Something In The Water,Carrie Underwood,2014-11-01,1,10RQKVSr4rS0coExTmi4dF,2014-12-09,Something in the Water,['Carrie Underwood']
Shotgun Rider,Tim McGraw,2014-11-01,1,3LbvNFkqDTrE1liGMmZBDL,2014-01-01,Shotgun Rider,['Tim McGraw']
Heroes (We Could Be),Alesso Featuring Tove Lo,2014-11-01,1,3zU9rdflI65tK4dkkNSp77,2015-05-26,Heroes (we could be),"['Alesso', 'Tove Lo']"
Thinking Out Loud,Ed Sheeran,2014-11-01,1,34gCuhDGsG4bRPIf9bb02f,2014-06-21,Thinking out Loud,['Ed Sheeran']
Handsome And Wealthy,Migos,2014-11-01,1,61zTSexBvC42Db8jxMHuKx,2014-06-03,Handsome And Wealthy,['Migos']
L.A.LOVE (la la),Fergie,2014-11-01,1,5h2nC1QYVpK0AJra70Ja3p,2017-09-22,L.A.LOVE (la la) [feat. YG],"['Fergie', 'YG']"
In Your Arms,Nico & Vinz,2014-11-01,1,0LH5xRQz5D36FpIkYUFv2e,2014,In Your Arms,['Nico & Vinz']
Perfect Storm,Brad Paisley,2014-11-01,1,14UE0L5fL5TL0ohEiAv56X,2014-08-25,Perfect Storm,['Brad Paisley']
Burnin' Up,Jessie J Featuring 2 Chainz,2014-11-01,1,2f8FHYOkBjxnNxBWXWBpsG,2014-10-14,Burnin' Up,"['Jessie J', '2 Chainz']"
Close Your Eyes,Parmalee,2014-11-01,1,3Bdqlr7jQLNhITAgcBGQBG,2013-12-10,Close Your Eyes,['Parmalee']
EW!,Jimmy Fallon Featuring will.i.am,2014-11-01,1,0PcLrZITBBSQKKrufVKFJI,2014-10-07,EW!,"['Jimmy Fallon', 'will.i.am']"
I'm Not Gonna Miss You,Glen Campbell,2014-11-01,1,6G5NsbGQlLQx4xjZE69Lnt,2015-01-01,I'm Not Gonna Miss You - Nashville Radio Single Version,['Glen Campbell']
Feelin' It,Scotty McCreery,2014-11-01,1,0ABHhxQTaluB94ohp2RLSr,2013-01-01,Feelin’ It,['Scotty McCreery']
U Guessed It,OG Maco Featuring 2 Chainz,2014-11-01,1,4UUFTQKwwId0n1P9t4ZQhx,2014-09-25,U Guessed It,['OG Maco']
Bobby Bitch,Bobby Shmurda,2014-11-01,1,6j8lAie0mdUNreql5d5Ejz,2014-10-14,Bobby Bitch,['Bobby Shmurda']
Often,The Weeknd,2014-11-01,1,4PhsKqMdgMEUSstTDAmMpg,2015-08-28,Often,['The Weeknd']
Drinking Class,Lee Brice,2014-11-01,1,4QAXLB2Hkx3n7LbOFxD34h,2014-09-09,Drinking Class,['Lee Brice']
Body Language,Kid Ink Featuring Usher & Tinashe,2014-11-01,1,1rN55j78K87LEfRKZsSFYm,2015-01-02,Body Language (feat. Usher & Tinashe),"['Kid Ink', 'Usher', 'Tinashe']"
Blank Space,Taylor Swift,2014-12-06,1,1p80LdxRV74UKvL8gnD7ky,2014-10-27,Blank Space,['Taylor Swift']
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2014-12-06,1,4rmPQGwcLQjCoFq5NrTA0D,2015-01-12,Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']"
Lips Are Movin,Meghan Trainor,2014-12-06,1,6gj08XDlv9Duc2fPOxUmVD,2015-01-09,Lips Are Movin,['Meghan Trainor']
The Heart Wants What It Wants,Selena Gomez,2014-12-06,1,6wJwkMo278iWVlWl1XQ4WA,2014-01-01,The Heart Wants What It Wants,['Selena Gomez']
"Mary, Did You Know?",Pentatonix,2014-12-06,1,4z8sz6E4YyFuEkv5o7IJni,2015-10-30,"Mary, Did You Know?",['Pentatonix']
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2014-12-06,1,4MRT0dDbhqFKl67WzhUbSw,2014-12-15,Only,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']"
Beg For It,Iggy Azalea Featuring M0,2014-12-06,1,7MQREx2p9bXdqm8WTGVkGI,2014-10-24,Beg For It,"['Iggy Azalea', 'MØ']"
Try Me,DeJ Loaf,2014-12-06,1,2CY92qejUrhyPUASawNVRr,2014-10-15,Try Me,['DeJ Loaf']
Ghost,Ella Henderson,2014-12-06,1,4z7gh3aIZV9arbL9jJSc5J,2015-01-13,Ghost,['Ella Henderson']
Night Changes,One Direction,2014-12-06,1,5O2P9iiztwhomNh8xkR9lJ,2014-11-17,Night Changes,['One Direction']
Do They Know It's Christmas? (2014),Band Aid 30,2014-12-06,1,03Dpt8Z4Zww4NGJb8503zb,2018-11-09,Do They Know It's Christmas? - 2014,['Band Aid 30']
Yellow Flicker Beat,Lorde,2014-12-06,1,0Nf53RDPZEjFrQE4B5n6Vf,2014-09-30,Yellow Flicker Beat,['Lorde']
Dangerous,David Guetta Featuring Sam Martin,2014-12-06,1,2w2lfwoTELQyN940qM7Nfd,2014-11-24,Dangerous (feat. Sam Martin),"['David Guetta', 'Sam Martin']"
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,2014-12-06,1,490r1lg2turCiWsPAAxVBP,2014-12-15,Bed Of Lies,"['Nicki Minaj', 'Skylar Grey']"
Talladega,Eric Church,2014-12-06,1,1TKlBK9cSrM5u4CiL4SETS,2014-01-01,Talladega,['Eric Church']
I Bet My Life,Imagine Dragons,2014-12-06,1,15DrrIod12Tc2IoMaHiwlQ,2014-09-18,I Bet My Life,['Imagine Dragons']
CoCo,O.T. Genasis,2014-12-06,1,2JI71GHwq2LN8mtq3iCLYo,2014-11-10,CoCo,['O.T. Genasis']
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,2014-12-06,1,0Ie5uiv54KgCr7P4sYDTHl,2014-10-10,Baby It's Cold Outside (duet with Michael Bublé),"['Idina Menzel', 'Michael Bublé']"
Baby Don't Lie,Gwen Stefani,2014-12-06,1,5t54WbqXtMwT5yF1nQSuKz,2014-10-20,Baby Don't Lie,['Gwen Stefani']
Good Girls,5 Seconds Of Summer,2014-12-06,1,5XwIdRXvHTtxH5BmBOSCCM,2014-06-27,Good Girls,['5 Seconds of Summer']
Til It's Gone,Kenny Chesney,2014-12-06,1,1Lh8n5owE0h0hgqWfqtvuD,2014-09-22,Til It's Gone,['Kenny Chesney']
God Made Girls,RaeLynn,2014-12-06,1,24tygl4LPQcQgeBe7qzY3n,2018-09-07,God Made Girls,['RaeLynn']
Take Me To Church,Matt McAndrew,2014-12-06,1,6fv1RHhZIxsYbfI2atszgJ,2015-02-17,Take Me To Church - The Voice Performance,['Matt McAndrew']
I Don't Mind,Usher Featuring Juicy J,2014-12-06,1,7aXuop4Qambx5Oi3ynsKQr,2014-11-21,I Don't Mind (feat. Juicy J),"['Usher', 'Juicy J']"
Make Me Wanna,Thomas Rhett,2014-12-06,1,69DR48pXzSabFUfQfDDJDb,2013-01-01,Make Me Wanna,['Thomas Rhett']
Mean To Me,Brett Eldredge,2014-12-06,1,5FVuERsYqtKKAaWe62NBnv,2013-08-06,Mean to Me,['Brett Eldredge']
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2014-12-06,1,26rdOwwjC2UnweK3xeS58u,2015-04-07,GDFR (feat. Sage the Gemini & Lookas),"['Flo Rida', 'Sage The Gemini', 'Lookas']"
Stockholm Syndrome,One Direction,2014-12-06,1,6AzCBeiDuUXGXjznBufswB,2014-11-17,Stockholm Syndrome,['One Direction']
Wasted Love,Matt McAndrew,2015-01-03,1,0tnGS4zZ9dvcHPLHidb9xr,2016-09-09,Wasted Love,['Matt McAndrew']
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-01-03,1,416MsJxvxSKY96DCmbJIRs,2014-11-24,The Hanging Tree,"['James Newton Howard', 'Jennifer Lawrence']"
7/11,Beyonce,2015-01-03,1,02M6vucOvmRfMxTXDUwRXu,,,
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,2015-01-03,1,6CkqeHWNY9gEjqQqcEnFF0,2015-02-24,My Baby’s Got A Smile On Her Face,['Craig Wayne Boyd']
Santa Tell Me,Ariana Grande,2015-01-03,1,0lizgQ7Qw35od7CYaoMBZb,2014-11-24,Santa Tell Me,['Ariana Grande']
Feeling Myself,Nicki Minaj Featuring Beyonce,2015-01-03,1,5fyIGoaaKelzdyW8ELhYJZ,2014-12-15,Feeling Myself,"['Nicki Minaj', 'Beyoncé']"
Velvet,Chris Jamison,2015-01-03,1,5Zb55VDys0H4jS8Me9I5aG,2015-02-17,Velvet - The Voice Performance,['Chris Jamison']
I See You,Luke Bryan,2015-01-03,1,3Z3D2hnbZnveVhTuOifJyt,2013-01-01,I See You,['Luke Bryan']
Lost Without U,Chris Jamison & Adam Levine,2015-01-03,1,6rZ2PWCvrGET4tg03I5Mke,2015-02-17,Lost Without U - The Voice Performance,"['Chris Jamison', 'Adam Levine']"
I Lived,OneRepublic,2015-01-03,1,7D49Iig0avHre9RFSUMkd2,2014-01-01,I Lived,['OneRepublic']
Masterpiece,Jessie J,2015-01-03,1,4PYiIgzcp4o5pEYji1xY9q,2014-10-14,Masterpiece,['Jessie J']
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015-01-03,1,1zbcFS5hS92oXNL3UZDfY0,2014-09-30,Lonely Tonight (feat. Ashley Monroe),"['Blake Shelton', 'Ashley Monroe']"
Prayer In C,Lillywood & Robin Schulz,2015-01-03,1,3hAtRglvQBjmRxWvuPbSvM,,,
Just Gettin' Started,Jason Aldean,2015-01-03,1,1WtdhlaiUoDTrVNSwaya0L,2014-10-07,Just Gettin' Started,['Jason Aldean']
Soldier,Damien,2015-01-03,1,3WQOUr3vHqCHVheQir1xWj,2010,Lonely Soldier,['Damien Rice']
Sledgehammer,Fifth Harmony,2015-01-03,1,4rUTAkOU7OkVGeQuyQCHhF,2015-01-30,Sledgehammer,['Fifth Harmony']
She Knows,Ne-Yo Featuring Juicy J,2015-01-03,1,7seTcUFOhn5caSDbiSfsp0,2015-01-20,She Knows,"['Ne-Yo', 'Juicy J']"
Lost Stars,Matt McAndrew & Adam Levine,2015-01-03,1,5AtswJe6AJ2uaqwHdVIsIT,2015-02-17,Lost Stars - The Voice Performance,"['Matt McAndrew', 'Adam Levine']"
Shut Up And Dance,WALK THE MOON,2015-01-03,1,4kbj5MwxO1bq9wjT5g9HaA,2014-12-02,Shut Up and Dance,['WALK THE MOON']
Time Of Our Lives,Pitbull & Ne-Yo,2015-01-03,1,2bJvI42r8EF3wxjOuDav4r,2014-11-21,Time of Our Lives,"['Pitbull', 'Ne-Yo']"
Get On Your Knees,Nicki Minaj Featuring Ariana Grande,2015-01-03,1,049V1aSofNvW906vGZgFsD,2014-12-15,Get On Your Knees,"['Nicki Minaj', 'Ariana Grande']"
Apparently,J. Cole,2015-01-03,1,1HNs07uZxZniPNmniw2GTa,2014-12-09,Apparently,['J. Cole']
Like A Cowboy,Randy Houser,2015-01-03,1,2eQQ7YHhROyqSPiMrTOuum,2013-01-22,Like a Cowboy,['Randy Houser']
Break The Rules,Charli XCX,2015-01-03,1,0A5qqtFMG1qrNQEcjvr1A2,2014-12-15,Break the Rules,['Charli XCX']
Lonely Eyes,Chris Young,2015-01-03,1,2j79NtwxoWDmkiH4MGwdLq,2013-09-16,Lonely Eyes,['Chris Young']
Homegrown Honey,Darius Rucker,2015-01-03,1,15WoYaFanAymIZuebfxvOt,2015-03-31,Homegrown Honey,['Darius Rucker']
Wet Dreamz,J. Cole,2015-01-03,1,6Ius4TC0L3cN74HT7ENE6e,2014-12-09,Wet Dreamz,['J. Cole']
Sugar,Maroon 5,2015-01-31,1,2iuZJX9X9P0GKaE93xcPjk,2014-09-02,Sugar,['Maroon 5']
Elastic Heart,Sia,2015-01-31,1,5S9lfZu1YF8xKkgSsqL2Bd,2015-05-04,Elastic Heart,['Sia']
Love Me Like You Do,Ellie Goulding,2015-01-31,1,3zHq9ouUJQFQRf3cm1rRLu,2015-11-06,"Love Me Like You Do - From ""Fifty Shades Of Grey""",['Ellie Goulding']
Heartbeat Song,Kelly Clarkson,2015-01-31,1,7FC9Lng8iXU081lbigu8m8,2015-02-27,Heartbeat Song,['Kelly Clarkson']
Homegrown,Zac Brown Band,2015-01-31,1,2kR18wsL3gvXRXdNE4dCGc,2015-04-28,Homegrown,['Zac Brown Band']
Style,Taylor Swift,2015-01-31,1,4lIxdJw6W3Fg4vUIYCB0S5,2014-10-27,Style,['Taylor Swift']
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015-01-31,1,1IDF4jYiuI17U4BW23EoXV,2015-07-24,Stuck On a Feeling (feat. Snoop Dogg),"['Prince Royce', 'Snoop Dogg']"
Outside,Calvin Harris Featuring Ellie Goulding,2015-01-31,1,7MmG8p0F9N3C4AXdK6o6Eb,2014-10-31,Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']"
Earned It (Fifty Shades Of Grey),The Weeknd,2015-01-31,1,4frLb7nWtsz2ymBE6k2GRP,2015-08-28,Earned It (Fifty Shades Of Grey),['The Weeknd']
Take Your Time,Sam Hunt,2015-01-31,1,6DEaND0SHv3sC11xobZLiy,2014-10-27,Take Your Time,['Sam Hunt']
Ayo,Chris Brown & Tyga,2015-01-31,1,0k6DnZMLoEUH8NGD5zh2SE,2015-02-24,Ayo,"['Chris Brown', 'Tyga']"
Uma Thurman,Fall Out Boy,2015-01-31,1,5PUawWFG1oIS2NwEcyHaCr,2015-01-20,Uma Thurman,['Fall Out Boy']
All About It,Hoodie Allen Featuring Ed Sheeran,2015-01-31,1,2rvHIXjN4TCFuFLZk3qAxn,2014-10-14,All About It (feat. Ed Sheeran),"['Hoodie Allen', 'Ed Sheeran']"
Ain't Worth The Whiskey,Cole Swindell,2015-01-31,1,4B1FxT0hP5dMWL64ubGR6P,2016-11-04,Ain’t Worth The Whiskey,['Cole Swindell']
Only One,Kanye West Featuring Paul McCartney,2015-01-31,1,0j35X8cTq543QDYLOyqB8W,2015-01-08,Only One,"['Kanye West', 'Paul McCartney']"
Take It On Back,Chase Bryant,2015-01-31,1,19OKWQPIupVomZOgBHvhV3,2014-09-23,Take it On Back,['Chase Bryant']
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,2015-01-31,1,5uqphUYsR45kPYplrYSAQh,2015-01-06,Throw Sum Mo,"['Rae Sremmurd', 'Nicki Minaj', 'Young Thug']"
Geronimo,Sheppard,2015-01-31,1,19cL3SOKpwnwoKkII7U3Wh,2015-03-10,Geronimo,['Sheppard']
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015-01-31,1,0fgZUSa7D7aVvv3GfO0A1n,2014-12-02,Post to Be (feat. Chris Brown & Jhene Aiko),"['Omarion', 'Chris Brown', 'Jhené Aiko']"
Glory,Common & John Legend,2015-01-31,1,2fmqPLRFdJNPhLU3b2NSFp,2014-12-11,Glory (From the Motion Picture Selma),"['Common', 'John Legend']"
What We Ain't Got,Jake Owen,2015-01-31,1,3obQ7Qx6YZt8r1KvTv7uk3,2013-12-02,What We Ain't Got,['Jake Owen']
Not For Long,B.o.B Featuring Trey Songz,2015-01-31,1,6H75Ki32BRrJFQeDNR05s1,2014-10-14,Not for Long (feat. Trey Songz),"['B.o.B', 'Trey Songz']"
