"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{easy}","{know}",0.06282722513089,0.857142857142857,0.0732984293193717,1.22174840085288,12
"2","{fell}","{know}",0.06282722513089,0.923076923076923,0.0680628272251309,1.31572904707233,12
"3","{dance}","{like}",0.06282722513089,0.75,0.0837696335078534,1.37740384615385,12
"4","{dance}","{love}",0.0680628272251309,0.8125,0.0837696335078534,1.34945652173913,13
"5","{dance}","{know}",0.06282722513089,0.75,0.0837696335078534,1.06902985074627,12
"6","{beat}","{love}",0.06282722513089,1,0.06282722513089,1.66086956521739,12
"7","{door}","{love}",0.06282722513089,0.857142857142857,0.0732984293193717,1.42360248447205,12
"8","{knew}","{cause}",0.06282722513089,0.857142857142857,0.0732984293193717,1.83948635634029,12
"9","{knew}","{just}",0.06282722513089,0.857142857142857,0.0732984293193717,1.544474393531,12
"10","{knew}","{know}",0.06282722513089,0.857142857142857,0.0732984293193717,1.22174840085288,12
"11","{hair}","{love}",0.06282722513089,1,0.06282722513089,1.66086956521739,12
"12","{body}","{love}",0.06282722513089,0.8,0.0785340314136126,1.32869565217391,12
"13","{body}","{know}",0.06282722513089,0.8,0.0785340314136126,1.14029850746269,12
"14","{fire}","{know}",0.06282722513089,0.8,0.0785340314136126,1.14029850746269,12
"15","{sure}","{yeah}",0.0732984293193717,0.875,0.0837696335078534,1.67125,14
"16","{sure}","{know}",0.06282722513089,0.75,0.0837696335078534,1.06902985074627,12
"17","{first}","{know}",0.0680628272251309,1,0.0680628272251309,1.42537313432836,13
"18","{forever}","{never}",0.06282722513089,0.857142857142857,0.0732984293193717,2.07233273056058,12
"19","{forever}","{love}",0.06282722513089,0.857142857142857,0.0732984293193717,1.42360248447205,12
"20","{forever}","{know}",0.06282722513089,0.857142857142857,0.0732984293193717,1.22174840085288,12
"21","{lookin}","{know}",0.06282722513089,0.857142857142857,0.0732984293193717,1.22174840085288,12
"22","{please}","{know}",0.06282722513089,0.923076923076923,0.0680628272251309,1.31572904707233,12
"23","{trust}","{love}",0.06282722513089,0.857142857142857,0.0732984293193717,1.42360248447205,12
"24","{days}","{just}",0.06282722513089,1,0.06282722513089,1.80188679245283,12
"25","{feels}","{cause}",0.0732984293193717,0.777777777777778,0.0942408376963351,1.66916354556804,14
"26","{feels}","{yeah}",0.06282722513089,0.666666666666667,0.0942408376963351,1.27333333333333,12
"27","{feels}","{like}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.32638888888889,13
"28","{feels}","{know}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.02943615257048,13
"29","{someone}","{know}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.23532338308458,13
"30","{second}","{know}",0.06282722513089,0.857142857142857,0.0732984293193717,1.22174840085288,12
"31","{arms}","{love}",0.06282722513089,0.8,0.0785340314136126,1.32869565217391,12
"32","{arms}","{know}",0.0785340314136126,1,0.0785340314136126,1.42537313432836,15
"33","{bout}","{just}",0.0785340314136126,0.882352941176471,0.0890052356020942,1.58990011098779,15
"34","{bout}","{like}",0.0732984293193717,0.823529411764706,0.0890052356020942,1.51244343891403,14
"35","{bout}","{know}",0.0785340314136126,0.882352941176471,0.0890052356020942,1.25768217734855,15
"36","{sometimes}","{yeah}",0.06282722513089,0.705882352941177,0.0890052356020942,1.34823529411765,12
"37","{sometimes}","{love}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.27007672634271,13
"38","{sometimes}","{know}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.08999122036874,13
"39","{stars}","{yeah}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.65533333333333,13
"40","{stars}","{love}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.43942028985507,13
"41","{stars}","{know}",0.06282722513089,0.8,0.0785340314136126,1.14029850746269,12
"42","{found}","{love}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.43942028985507,13
"43","{found}","{know}",0.0785340314136126,1,0.0785340314136126,1.42537313432836,15
"44","{going}","{love}",0.06282722513089,0.857142857142857,0.0732984293193717,1.42360248447205,12
"45","{going}","{know}",0.0680628272251309,0.928571428571429,0.0732984293193717,1.32356076759062,13
"46","{else}","{time}",0.06282722513089,0.705882352941177,0.0890052356020942,1.58615916955017,12
"47","{else}","{just}",0.06282722513089,0.705882352941177,0.0890052356020942,1.27192008879023,12
"48","{else}","{know}",0.06282722513089,0.705882352941177,0.0890052356020942,1.00614574187884,12
"49","{smile}","{cause}",0.06282722513089,0.705882352941177,0.0890052356020942,1.51487111698612,12
"50","{smile}","{yeah}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.46058823529412,13
"51","{smile}","{just}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.37791342952275,13
"52","{smile}","{love}",0.0785340314136126,0.882352941176471,0.0890052356020942,1.46547314578005,15
"53","{smile}","{know}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.08999122036874,13
"54","{fall}","{love}",0.0680628272251309,0.8125,0.0837696335078534,1.34945652173913,13
"55","{fall}","{know}",0.0785340314136126,0.9375,0.0837696335078534,1.33628731343284,15
"56","{close}","{know}",0.0732984293193717,0.777777777777778,0.0942408376963351,1.10862354892206,14
"57","{lose}","{yeah}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.46058823529412,13
"58","{lose}","{know}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.08999122036874,13
"59","{believe}","{heart}",0.06282722513089,0.666666666666667,0.0942408376963351,2.31515151515151,12
"60","{believe}","{know}",0.0732984293193717,0.777777777777778,0.0942408376963351,1.10862354892206,14
"61","{pain}","{like}",0.06282722513089,0.705882352941177,0.0890052356020942,1.29638009049774,12
"62","{pain}","{know}",0.0680628272251309,0.764705882352941,0.0890052356020943,1.08999122036874,13
"63","{mean}","{like}",0.0680628272251309,0.8125,0.0837696335078534,1.4921875,13
"64","{mean}","{know}",0.06282722513089,0.75,0.0837696335078534,1.06902985074627,12
"65","{money}","{like}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.59166666666667,13
"66","{money}","{know}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.23532338308458,13
"67","{hate}","{love}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.43942028985507,13
"68","{hate}","{know}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.23532338308458,13
"69","{inside}","{know}",0.0785340314136126,0.882352941176471,0.0890052356020942,1.25768217734855,15
"70","{told}","{love}",0.0732984293193717,0.875,0.0837696335078534,1.45326086956522,14
"71","{told}","{know}",0.0785340314136126,0.9375,0.0837696335078534,1.33628731343284,15
"72","{perfect}","{like}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.59166666666667,13
"73","{perfect}","{know}",0.0732984293193717,0.933333333333333,0.0785340314136126,1.33034825870647,14
"74","{hands}","{yeah}",0.0680628272251309,0.684210526315789,0.0994764397905759,1.30684210526316,13
"75","{hands}","{just}",0.0680628272251309,0.684210526315789,0.0994764397905759,1.23286991062562,13
"76","{hands}","{like}",0.0680628272251309,0.684210526315789,0.0994764397905759,1.25657894736842,13
"77","{hands}","{know}",0.06282722513089,0.631578947368421,0.0994764397905759,0.900235663786331,12
"78","{hear}","{love}",0.0680628272251309,0.8125,0.0837696335078534,1.34945652173913,13
"79","{hear}","{know}",0.0732984293193717,0.875,0.0837696335078534,1.24720149253731,14
"80","{nights}","{yeah}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.37944444444444,13
"81","{nights}","{just}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.30136268343816,13
"82","{nights}","{like}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.32638888888889,13
"83","{nights}","{know}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.02943615257048,13
"84","{times}","{every}",0.06282722513089,0.8,0.0785340314136126,3.18333333333333,12
"85","{times}","{love}",0.06282722513089,0.8,0.0785340314136126,1.32869565217391,12
"86","{times}","{know}",0.0732984293193717,0.933333333333333,0.0785340314136126,1.33034825870647,14
"87","{crazy}","{baby}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.79148629148629,13
"88","{crazy}","{yeah}",0.06282722513089,0.666666666666667,0.0942408376963351,1.27333333333333,12
"89","{crazy}","{just}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.30136268343816,13
"90","{crazy}","{like}",0.0680628272251309,0.722222222222222,0.0942408376963351,1.32638888888889,13
"91","{crazy}","{love}",0.0785340314136126,0.833333333333333,0.0942408376963351,1.38405797101449,15
"92","{crazy}","{know}",0.0942408376963351,1,0.0942408376963351,1.42537313432836,18
"93","{live}","{cause}",0.0732984293193717,0.736842105263158,0.0994764397905759,1.58131283264341,14
"94","{live}","{just}",0.0732984293193717,0.736842105263158,0.0994764397905759,1.32770605759682,14
"95","{live}","{like}",0.06282722513089,0.631578947368421,0.0994764397905759,1.15991902834008,12
"96","{live}","{love}",0.0732984293193717,0.736842105263158,0.0994764397905759,1.22379862700229,14
"97","{live}","{know}",0.0680628272251309,0.684210526315789,0.0994764397905759,0.975255302435192,13
"98","{hope}","{time}",0.06282722513089,0.8,0.0785340314136126,1.79764705882353,12
"99","{hope}","{know}",0.0785340314136126,1,0.0785340314136126,1.42537313432836,15
"100","{took}","{love}",0.06282722513089,0.705882352941177,0.0890052356020942,1.17237851662404,12
"101","{took}","{know}",0.06282722513089,0.705882352941177,0.0890052356020942,1.00614574187884,12
"102","{mine}","{love}",0.06282722513089,0.8,0.0785340314136126,1.32869565217391,12
"103","{mine}","{know}",0.0680628272251309,0.866666666666667,0.0785340314136126,1.23532338308458,13
